SMILES,E1-CAM
O=C1COC(C2=NC(=O)CS2)=N1,0.07607
O=C1CSC(C=CCC=Cc2ccc3c(c2)CCCN3O)=N1,0.08172
CC1=CC(C)(C)N(C)c2ccc(CC=CC3=NC(=O)CS3)cc21,0.08954
O=C1CSC(c2ccc3nc(C4=NC(=O)CS4)sc3c2)=N1,0.11525
CC=C(C=C1CCN(C)C1)/C=C/C=C/C1=NC(=O)CS1,0.09401
Cc1ccc2nc(C3=NC(=O)CS3)sc2c1,0.11365
CNCCOc1cccc(/C=C/C=C/C2=NC(=O)CS2)c1,0.09526
O=C1CSC(c2nc3ccccc3s2)=N1,0.09930
CC=C/C(O)=C/C1=NC(=O)CS1,0.02520
O=C1CSC(c2cc(=O)[nH]s2)=N1,0.10503
CN(C)c1ccc(C2=NC(=O)CS2)cc1C(C)(C)C,0.10004
C=C(C=C1CCCN(C)C1=C)/C=C/C=C/C1=NC(=O)CS1,0.08513
C=c1sc(C2=NC(=O)CS2)nc1=CC1=CNCCC1,0.01754
CC1=CC(C)(C)N(C)c2ccc(C3=NC(=O)CS3)cc21,0.11262
Nc1c2c(cc3nc(C4=NC(=O)CS4)sc13)CCN2,0.07520
CN1CCOc2cc(N)c(SCC3=NC(=O)CS3)cc21,0.03546
CN1CCc2nc(/C=C/C=C/C3=NC(=O)CS3)ccc21,0.07757
Nc1cc2nc(C3=NC(=O)CS3)sc2c2ccc(O)cc12,0.08072
CCCC=CC1=NC(=O)CS1,0.10915
O=C1CSC(c2nc3ccc4c(c3s2)CCC=N4)=N1,0.10087
CC1Cc2cc3nc(C4=NC(=O)CS4)sc3cc2N1C,0.09001
C=C1CCCN(C)C1=Cc1cnc(C2=NC(=O)CS2)s1,0.07119
CN(C#N)c1ccc(/C=C/C=C/C2=NC(=O)CS2)cc1,0.08869
CN1CCNc2c1ccc1nc(C3=NC(=O)CS3)sc21,0.06919
N=C(Sc1cccc2cc(N)ccc12)C1=NC(=O)CS1,0.06628
CC1(C=N)CCNc2cc3sc(C4=NC(=O)CS4)nc3cc21,0.09251
O=C1CSC(c2nc3cc4c(cc3s2)CCCC4)=N1,0.11241
C=c1sc(C2=NC(=O)CS2)nc1=CC1=CNCC1,0.01083
CC1=CC(C)(C)N(N)c2cc3sc(C4=NC(=O)CS4)nc3cc21,0.08866
C=c1ccc2nc(C3=NC(=O)CS3)sc2c1=CC=CN,0.06287
O=C1CSC(/C=C/C=C/c2ccc3c(c2)OCCN3C2=NC(=O)CS2)=N1,0.08832
CN1CCOc2cc(CC=CC3=NC(=O)CS3)ccc21,0.09025
O=C1CSC(C2=NC(=S)CS2)=N1,0.06810
CC=CC=CCC1=NC(=O)CS1,0.10842
C=C1CCc2cc(/C=C/C=C/C3=NC(=O)CS3)ccc2N1C,0.07929
C=C(C=C1C(=C)N(C)C(C)(C)C=C1C)/C=C/C=C/C1=NC(=O)CS1,0.08574
O=C1CSC(c2nc3ccc4cc(O)ccc4c3[nH]2)=N1,0.10987
O=C(CS)N=CC=Cc1ccc2nc(C3=NC(=O)CS3)sc2c1,0.05810
CNc1ccc(/C=C/C=C/C2=NC(=O)CS2)cc1C(C)=CC(C)C,0.08071
O=C1CSC(C2=CC=CNC2)=N1,0.08469
Cc1ccc2nc(C3=NC(=O)CS3)sc2c1C=CCO,0.10922
O=C1CSC(c2nc3cc4c(cc3s2)NCC(=O)O4)=N1,0.09665
CNC1(C)CCN(C)C2SCC(=O)N=C21,0.07217
CCCc1cc(/C=C/C=C/C2=NC(=O)CS2)cc2c1NCCC2,0.07961
O=C1CSC(/C=C/C=CO)=N1,0.11676
CN1CCCC2=Cc3nc(C4=NC(=O)CS4)sc3CC21,0.10281
CN1C(=O)COc2cc(/C=C/C=C/C3=NC(=O)CS3)ccc21,0.08716
CC(N)=CC=C1CSC(C2=NC(=O)CS2)=N1,0.06104
CN1CC=Cc2cc(/C=C/C=C/C3=NC(=O)CS3)ccc21,0.07777
CSC(/C=C/C=CC=CC1=NC(=O)CS1)=NC=O,0.06351
CC1CN(C)c2cc3sc(C4=NC(=O)CS4)nc3cc21,0.08996
C=C/C=C/C1=NC(=O)CS1,0.08196
CN(C)c1ccc(N)c(SCC2=NC(=O)CS2)c1,0.04895
O=C1Cc2sc(C3=NC(=O)CS3)nc2C=N1,0.07973
N=C(C=Cc1ccc2nc(C3=NC(=O)CS3)sc2c1)SCC=O,0.10327
